Date,Open,High,Low,Close,Volume
2015-01-02,68.8168272125848,69.26676202638596,67.98446153783381,68.8993148803711,3767900
2015-01-05,67.75200427410225,67.80449591442336,64.93993985441489,65.26239013671875,11301400
2015-01-06,65.44987245096038,65.74982718532245,63.86761680533227,64.84246826171875,8660600
2015-01-07,65.51736026287222,66.09476836495628,64.80496710494894,65.84730529785156,6511100
2015-01-08,66.87462488473449,66.94961210634258,65.86977780747955,66.52217864990234,7617800
2015-01-09,66.55972021001399,66.65720309202531,65.25491764127212,65.72734832763672,4857100
2015-01-12,65.78731510016557,65.81730542064926,64.54250511717373,65.15740966796875,4351600
2015-01-13,65.74983283355805,65.91480823768741,63.890117897683204,64.76748657226562,5078100
2015-01-14,63.6576477014354,64.65499472243052,63.19271759542041,64.54251098632812,10366700
2015-01-15,65.04146815765733,65.14731223499216,63.73353530141867,63.748653411865234,6683900
2015-01-16,63.68819980386519,63.748683810632684,62.788524717506235,63.400909423828125,10424800
2015-01-20,63.824259237666475,63.8847432191338,62.89434253690358,63.484046936035156,5937300
2015-01-21,63.19674558026478,64.56516814726524,63.19674558026478,64.54248809814453,6613100
2015-01-22,65.0566358689554,66.04703716048577,64.58789337631563,65.63877868652344,5567800
2015-01-23,65.61607197197652,65.77483813046773,64.41397710329855,64.72395324707031,5027500
2015-01-26,64.53495572089484,65.21538634655126,64.18718134957537,65.04149627685547,8140500
2015-01-27,60.286014756465605,61.503227236448296,59.802154539734836,60.369178771972656,27489500
2015-01-28,60.78505627529753,61.38987923357422,60.45239989899711,60.490203857421875,14269300
2015-01-29,60.41456862894557,60.61869489567798,59.582928143555186,60.482608795166016,9157000
2015-01-30,60.11217885838109,61.10258013407603,60.044132896438605,60.45995330810547,8150700
2015-02-02,60.5431215803388,61.14794449507894,60.0970591289469,61.11770248413086,7149000
2015-02-03,61.40494685528361,63.58987983073313,61.35202482282898,63.446231842041016,10895300
2015-02-04,62.5843910529774,62.992649436218414,61.73763805194911,61.95688247680664,8806500
2015-02-05,62.29709143928704,63.22700836755757,61.89639505815653,63.18164825439453,6640200
2015-02-06,63.20432184603532,63.61258012695753,62.59949924946487,62.90946960449219,5581500
2015-02-09,62.78851358047692,64.16449276597697,62.71290570139222,64.0132827758789,7693800
2015-02-10,64.26278726056637,64.26278726056637,63.09849606979447,63.43115234375,6569100
2015-02-11,63.17408066216869,63.257244707576476,62.1761178853461,63.0606803894043,5722600
2015-02-12,63.56723711208095,63.695761299505214,62.98508864515786,63.15141677856445,4623000
2015-02-13,63.589925363035796,64.63324865050755,63.52944134890243,64.36107635498047,5645500
2015-02-17,64.15692207303331,64.70126642699158,63.6579378258814,64.55005645751953,3924400
2015-02-18,64.20232305457331,64.8751919849153,63.945274594925465,64.11160278320312,3568600
2015-02-19,63.36310782707971,63.50675590646088,62.153456487237825,62.977535247802734,5733500
2015-02-20,62.97752821590734,63.9754911808562,62.297097610698586,63.83940505981445,6029400
2015-02-23,63.431153894023836,63.49163790314353,62.856567343531914,63.121177673339844,5180000
2015-02-24,63.3328705398919,64.02842515917253,63.20434633722651,63.8847770690918,3678700
2015-02-25,63.89987828580093,64.53494872357898,63.635268006756526,64.37618255615234,3449500
2015-02-26,64.33838025764881,64.33838025764881,63.1740892320684,63.35554122924805,4457000
2015-02-27,63.64282301645677,63.64282301645677,62.667540293002965,62.67510223388672,4370500
2015-03-02,62.67510742280725,62.803631588117454,62.17612310844342,62.750709533691406,4155000
2015-03-03,62.53145950115979,63.34797614373406,62.486099388151665,62.62974166870117,4331700
2015-03-04,62.425603319423914,62.45584531160453,61.11010838395366,61.7905387878418,6863600
2015-03-05,61.7905575546271,61.7905575546271,60.527978511919585,61.624229431152344,7123500
2015-03-06,60.762335734543775,61.397400282937966,60.14238929860501,60.52796173095703,7913800
2015-03-09,60.61113318058823,61.495689953179735,60.558211128417916,61.094993591308594,4740500
