Date,Open,High,Low,Close,Volume
2015-01-02,114.636805447143,115.31025532754468,112.90504286578118,113.65721893310547,4294200
2015-01-05,113.40356883958025,113.63096590977251,112.48521244594562,112.87004852294922,5024800
2015-01-06,112.8700489827263,113.36857692401594,110.35987972331644,111.54061889648438,4992800
2015-01-07,112.59893475221563,113.67471697033918,112.58143856087271,113.27238464355469,3573200
2015-01-08,114.2257467180136,115.4414719155632,114.05081147579965,115.2752914428711,4503400
2015-01-09,115.09160825876027,115.67760391907125,114.51435402179084,115.0478744506836,3056400
2015-01-12,115.66008733039673,115.67757017197947,113.6571942776835,114.46184539794922,3552700
2015-01-13,115.45019686827804,117.12072943501788,113.849635719304,114.72425842285156,3441700
2015-01-14,112.85256397354573,114.82920643712364,112.78259255726645,114.03330993652344,3559500
2015-01-15,113.9196114396364,115.30151696491596,113.43856626538023,113.82340240478516,3902000
2015-01-16,113.48228793864935,114.59306243214243,112.92252998091028,114.38314819335938,4425600
2015-01-20,114.96917252192331,115.45021776508163,113.21992679820995,114.76801300048828,3143700
2015-01-21,114.46186571519092,116.21111107296291,114.19948958807151,115.80879211425781,2898000
2015-01-22,116.65718463335367,119.13236857421599,116.36855752939971,118.63382720947266,4971300
2015-01-23,118.5725860628841,118.75624932566002,117.72420111776965,117.74168395996094,3828300
2015-01-26,118.07404319305765,118.29269882860035,116.7883469884121,117.26065063476562,3900500
2015-01-27,115.80004658399639,116.31608414842427,114.3481829639446,115.8700180053711,5243900
2015-01-28,119.2110724485933,124.10020996512438,118.87871156376941,122.13230895996094,14355100
2015-01-29,122.17603074992704,129.66279792481293,122.12355553025809,129.25172424316406,15161700
2015-01-30,127.88732497175505,128.43834151196438,126.26926773071507,127.14389038085938,11271100
2015-02-02,125.70079660498573,128.21095990458718,125.1148008991342,127.92233276367188,6790900
2015-02-03,128.01849738958066,129.44413640574834,127.85231697104811,128.86688232421875,5978200
2015-02-04,127.66868444830254,129.78526991115672,127.63369206456511,128.761962890625,4766200
2015-02-05,128.79694371511232,130.2050869021822,128.09725617886846,129.9689483642578,4252600
2015-02-06,129.98644525248156,130.22259716160056,129.18179382233114,129.44418334960938,4398800
2015-02-09,127.83483506626753,129.58408016565593,127.37128618258407,129.07679748535156,4202900
2015-02-10,129.61905352256315,130.06511954462025,129.00682043370873,129.47911071777344,4034900
2015-02-11,129.81357618869842,130.57921351791381,129.44396418724878,130.1743927001953,3272700
2015-02-12,130.47356320639773,130.74638445570463,129.9631429422148,130.32395935058594,2998900
2015-02-13,130.22715562988805,131.86401598905388,129.92794791745104,131.7672119140625,3418600
2015-02-17,130.87841210830075,131.96965705597958,130.70240832402428,131.9344482421875,3622400
2015-02-18,131.74082116179233,133.43048141939036,131.45040891667338,133.0344696044922,3722100
2015-02-19,132.92884772184902,135.73615219188414,132.8848434324187,135.304931640625,4384000
2015-02-20,135.34894622340167,139.77550682661388,135.34894622340167,139.31788635253906,9366000
2015-02-23,136.40498150041992,137.21460945664836,134.9617293300606,136.17617797851562,8653700
2015-02-24,135.08494236886614,136.21138250784685,134.82973893991104,135.859375,4391700
2015-02-25,135.7977769322127,136.17619778958903,133.888108524773,134.6537322998047,4800500
2015-02-26,134.03770300516945,134.09931170507247,132.71765469756963,133.52728271484375,5149300
2015-02-27,132.8848528429697,133.66808090869003,132.40083248140667,132.7528533935547,4330700
2015-03-02,132.75286097721343,135.65695645604202,132.66485238709265,135.3489532470703,4622800
2015-03-03,136.14977280509675,138.08584074948675,135.67454794882806,136.90660095214844,8656600
2015-03-04,136.070561038362,136.5985856775423,135.52494542524025,135.8329620361328,4476200
2015-03-05,136.28178011870213,137.26741183569158,135.79775974760017,135.93856811523438,3327200
2015-03-06,135.45456254448845,136.43139888081853,134.47772620815837,134.7505340576172,3556200
2015-03-09,134.90895341735737,136.9418258689079,134.77694051626088,136.18499755859375,3433000
2015-03-10,134.9089388581157,135.63936719502888,134.13450622558594,134.13450622558594,3839600
2015-03-11,134.21370956111383,134.37212234400874,133.0344696044922,133.0344696044922,3395400
2015-03-12,133.13125976001967,134.57451191834426,133.13125976001967,133.80007934570312,2965100
2015-03-13,133.66809319554287,134.10810930500588,131.82002016450787,133.38648986816406,3569600
2015-03-16,134.1081329992708,135.69219395885517,134.0025334113746,135.2345733642578,2742900
2015-03-17,134.5393418872105,136.40500606016195,134.40732898569985,135.97378540039062,2927200
2015-03-18,135.56016760262335,137.27624130512794,133.86171173399217,137.04742431640625,4053600
