Date,Open,High,Low,Close,Volume
2015-01-02,121.91775513393242,124.03177077084942,121.78261332163125,123.67459869384766,2034700
2015-01-05,122.89271231783633,124.65921842794296,121.77296476091216,121.97567749023438,2430300
2015-01-06,121.9756588225298,123.74216466228242,120.21880807260347,120.83660125732422,2519300
2015-01-07,122.16870405107267,124.4950870301963,121.5702211066516,124.45646667480469,2098300
2015-01-08,124.96806917817048,126.51254435350516,124.96806917817048,125.74996185302734,2515800
2015-01-09,126.22295133448485,126.57046082844107,124.84257581057513,125.24800109863281,1912400
2015-01-12,125.59552730772923,126.08782635245777,123.8483318828512,124.04138946533203,1810400
2015-01-13,125.064664340882,125.788641648872,122.69967474731921,123.88699340820312,2090800
2015-01-14,122.54519755728255,122.95063036366335,120.74973361296179,121.82122039794922,2851500
2015-01-15,121.9177566696489,122.15908238960887,119.80374100610305,119.82304382324219,2722700
2015-01-16,119.4175919317596,121.15513967649736,119.01216657954575,120.9427719116211,2034100
2015-01-20,121.62816350467733,122.11081494715621,119.78443145936328,120.89453125,2270100
2015-01-21,120.68216915050652,121.97567890722131,120.53737960264922,121.0103759765625,1366700
2015-01-22,121.96601176712805,123.14368240454135,121.02966683853955,122.59346008300781,2953800
2015-01-23,122.37144603164596,122.66103984902908,120.4311924950799,120.5373764038086,1993800
2015-01-26,120.23810332365657,121.40611872018799,118.99286194272428,121.28063201904297,2032800
2015-01-27,119.8520080772471,121.48336492233028,119.81339507862053,120.5470199584961,1894300
2015-01-28,121.33856163204132,121.51231643437715,119.69754978250641,120.02574920654297,2401800
2015-01-29,119.07976504145414,124.26343684483109,117.32291407709867,123.52015686035156,4903000
2015-01-30,122.41005316952676,123.19195349314614,120.6725124424671,120.86557006835938,3513100
2015-02-02,121.13583484108277,121.54126757585121,118.9252907546099,121.52195739746094,1835600
2015-02-03,122.04323617942842,123.04715199888705,121.02966526963263,122.9120101928711,1797000
2015-02-04,122.44864714299254,123.58770463400678,121.6570992163335,121.96599578857422,1531100
2015-02-05,122.36178883458659,123.06645577650796,121.50266990476806,122.63207244873047,1472800
2015-02-06,122.59346625515214,122.82513688517842,120.00645423171619,120.46980285644531,1573400
2015-02-09,119.56240847181002,120.42152739672882,118.66467655013713,119.11837005615234,1357200
2015-02-10,119.77477587324834,120.81730468811251,119.34038518471691,120.69181060791016,1232300
2015-02-11,120.92346331813368,121.81154737967482,120.52769304950473,121.0682601928711,1313700
2015-02-12,122.36178090748218,122.67067749858874,121.2420261617986,122.42935180664062,1370700
2015-02-13,122.41004394878395,123.2788179292101,121.29995163650833,123.18228912353516,1543600
2015-02-17,122.6127572679417,123.72285695048684,121.81156154859423,123.58771514892578,1381400
2015-02-18,123.55874633789062,124.38890725402234,122.4486467533261,123.55874633789062,1402100
