Date,Open,High,Low,Close,Volume
2015-01-02,170.47257341496748,170.8855799305739,168.6553346631324,169.68785095214844,121465900
2015-01-05,168.6470660413276,168.8122661140158,166.3177160273211,166.6233367919922,169632600
2015-01-06,166.92894957322903,167.44934175106874,164.2609313452381,165.0539093017578,209151400
2015-01-07,166.3754906183617,167.44930974013607,165.92944926830862,167.1106414794922,125346700
2015-01-08,168.5148859394458,170.29082122362388,168.49837475641723,170.0760498046875,147217800
2015-01-09,170.4890728778248,170.5055966664213,168.10189588592164,168.71315002441406,158567300
2015-01-12,168.84533157044453,169.0022760675028,166.78855452639888,167.39154052734375,144396100
2015-01-13,168.60574554907672,169.72912357347792,165.62383853897953,166.92068481445312,214553300
2015-01-14,164.91349780540452,166.11122679229365,164.0214148168744,165.91297912597656,192991100
2015-01-15,166.54900663505038,166.86288300701946,164.27747086579527,164.3931121826172,176613900
2015-01-16,164.18661346110187,166.70595572276284,164.0048895862307,166.54901123046875,211879600
2015-01-20,167.1850467519091,167.44937699436866,165.34304106412313,166.90420532226562,130991100
2015-01-21,166.44157190471358,168.22576249946007,165.97900677362105,167.74667358398438,122942700
2015-01-22,168.49841437027467,170.37345500531438,167.12722961914895,170.24130249023438,174356000
2015-01-23,169.98521597655784,170.24129060330148,169.17572673589194,169.30789184570312,117516800
2015-01-26,169.09308902732297,169.79519235821022,168.38271750174832,169.70433044433594,92009700
2015-01-27,167.65583025769982,168.60573999976427,166.63983797473307,167.46585083007812,134044600
2015-01-28,168.64706860560267,168.74618612993115,165.1282578484053,165.3182373046875,168514300
2015-01-29,165.51650818201227,167.1024518135914,164.1122758358799,166.8463897705078,173585400
2015-01-30,165.6734188056964,166.99503192642172,164.48395817427368,164.74827575683594,197729700
2015-02-02,165.24390342208943,166.87940563546837,163.4349329327051,166.78854370117188,163107000
2015-02-03,167.68066983135327,169.20879920391286,167.3089664338,169.20053100585938,124212900
