Datetime,Open,High,Low,Close,Volume
2024-06-17 00:00:00+00:00,2429.537353515625,2431.11328125,2420.045654296875,2420.045654296875,225044
2024-06-17 01:00:00+00:00,2419.98828125,2419.98828125,2404.49609375,2405.825927734375,1221804
2024-06-17 02:00:00+00:00,2406.221923828125,2406.221923828125,2386.44189453125,2392.12255859375,1726364
2024-06-17 03:00:00+00:00,2392.07666015625,2392.07666015625,2383.9306640625,2384.092041015625,212540
2024-06-17 04:00:00+00:00,2383.75,2396.300537109375,2381.31884765625,2396.300537109375,499300
2024-06-17 05:00:00+00:00,2396.5380859375,2412.034423828125,2393.6953125,2393.6953125,1996756
2024-06-17 06:00:00+00:00,2393.826416015625,2393.826416015625,2374.876708984375,2374.95751953125,1555116
2024-06-17 07:00:00+00:00,2374.77734375,2387.3720703125,2361.62158203125,2383.07177734375,1472908
2024-06-17 08:00:00+00:00,2383.710205078125,2390.636962890625,2369.27197265625,2370.672607421875,674528
2024-06-17 09:00:00+00:00,2369.904541015625,2383.648193359375,2357.33544921875,2357.33544921875,0
2024-06-17 10:00:00+00:00,2357.833984375,2359.0791015625,2342.10595703125,2349.540771484375,0
2024-06-17 11:00:00+00:00,2349.275634765625,2350.860107421875,2339.046142578125,2350.860107421875,589036
2024-06-17 12:00:00+00:00,2351.16064453125,2355.555419921875,2342.844970703125,2342.844970703125,397820
2024-06-17 13:00:00+00:00,2342.884765625,2355.60009765625,2335.491455078125,2335.491455078125,0
2024-06-17 14:00:00+00:00,2332.542724609375,2336.409423828125,2322.050537109375,2325.682373046875,2962536
2024-06-17 15:00:00+00:00,2324.8154296875,2330.792724609375,2318.31103515625,2318.31103515625,0
2024-06-17 16:00:00+00:00,2318.12646484375,2323.9765625,2277.315673828125,2314.489990234375,4428576
2024-06-17 17:00:00+00:00,2314.571044921875,2331.434814453125,2314.571044921875,2331.17626953125,100256
2024-06-17 18:00:00+00:00,2331.55029296875,2341.659912109375,2331.55029296875,2336.505859375,376752
2024-06-17 19:00:00+00:00,2337.118408203125,2342.757568359375,2332.27099609375,2337.76513671875,0
2024-06-17 20:00:00+00:00,2337.810546875,2338.550537109375,2306.28173828125,2307.4208984375,0
2024-06-17 21:00:00+00:00,2307.595458984375,2318.8271484375,2302.276611328125,2314.92333984375,0
2024-06-17 22:00:00+00:00,2314.783935546875,2314.783935546875,2302.34765625,2304.161376953125,0
2024-06-17 23:00:00+00:00,2304.2236328125,2304.2236328125,2295.322021484375,2296.222412109375,0
2024-06-18 00:00:00+00:00,2295.90380859375,2296.52978515625,2256.54345703125,2264.449951171875,2725916
2024-06-18 01:00:00+00:00,2264.588134765625,2273.27587890625,2138.747314453125,2177.640380859375,14689288
2024-06-18 02:00:00+00:00,2178.16259765625,2198.74169921875,2173.9638671875,2191.320068359375,1760512
2024-06-18 03:00:00+00:00,2191.20166015625,2193.2392578125,2180.604248046875,2193.2392578125,1484928
