Datetime,Open,High,Low,Close,Volume
2024-06-17 00:00:00+00:00,2.0936713218688965,2.1000566482543945,2.086869955062866,2.0878803730010986,0
2024-06-17 01:00:00+00:00,2.0842878818511963,2.0875048637390137,2.071594715118408,2.076401710510254,0
2024-06-17 02:00:00+00:00,2.0742645263671875,2.075514316558838,2.0582220554351807,2.0647270679473877,4295152
2024-06-17 03:00:00+00:00,2.064803123474121,2.0652639865875244,2.052644968032837,2.052644968032837,0
2024-06-17 04:00:00+00:00,2.054013967514038,2.058382749557495,2.0474605560302734,2.058241605758667,913392
2024-06-17 05:00:00+00:00,2.059286594390869,2.0658175945281982,2.0440704822540283,2.0440704822540283,718864
2024-06-17 06:00:00+00:00,2.0456702709198,2.0456702709198,2.0152666568756104,2.0152666568756104,6765408
2024-06-17 07:00:00+00:00,2.0150210857391357,2.025369644165039,2.0000669956207275,2.015530824661255,5980192
2024-06-17 08:00:00+00:00,2.01593279838562,2.01593279838562,1.9818779230117798,1.9910346269607544,5954432
2024-06-17 09:00:00+00:00,1.9890910387039185,2.004417657852173,1.9694327116012573,1.9700477123260498,7062016
2024-06-17 10:00:00+00:00,1.9721263647079468,1.9849942922592163,1.9485790729522705,1.980255126953125,10671248
2024-06-17 11:00:00+00:00,1.9789999723434448,1.9995132684707642,1.9789999723434448,1.9995132684707642,5716112
2024-06-17 12:00:00+00:00,1.9990336894989014,2.0101659297943115,1.99635910987854,1.9982672929763794,6559728
2024-06-17 13:00:00+00:00,1.997470736503601,2.0036866664886475,1.9659395217895508,1.9659395217895508,2644256
2024-06-17 14:00:00+00:00,1.9691983461380005,1.9933135509490967,1.9691983461380005,1.978963851928711,1271632
2024-06-17 15:00:00+00:00,1.9809099435806274,1.9842511415481567,1.9586488008499146,1.9586488008499146,4196064
2024-06-17 16:00:00+00:00,1.9580280780792236,1.9685249328613281,1.910781741142273,1.9628105163574219,16502784
2024-06-17 17:00:00+00:00,1.9681521654129028,1.986523151397705,1.9639445543289185,1.9829695224761963,2626400
2024-06-17 18:00:00+00:00,1.989251732826233,2.0058188438415527,1.989251732826233,1.997269630432129,2797952
2024-06-17 19:00:00+00:00,2.0012590885162354,2.0012590885162354,1.9906518459320068,1.9935822486877441,2089680
2024-06-17 20:00:00+00:00,1.9955823421478271,1.9955823421478271,1.9472123384475708,1.950251579284668,5410448
2024-06-17 21:00:00+00:00,1.950766921043396,1.9572304487228394,1.9321157932281494,1.9491755962371826,2911968
2024-06-17 22:00:00+00:00,1.9466686248779297,1.9486443996429443,1.9415817260742188,1.9448225498199463,0
2024-06-17 23:00:00+00:00,1.9455828666687012,1.9459803104400635,1.9290688037872314,1.93756103515625,2899024
